"Sample Name"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Parameter Value[internal standard]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[internal standard amount]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[calibration standard]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[chromatography column]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[elution buffer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[elution program]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[flow rate]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[scanning]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ionization mode]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Data Transformation Name"	"Derived Spectral Data File"	"Metabolite Assignment File"	"Factor Value[OBI:selectively maintained organism]"	"Term Source REF"	"Term Accession Number"
"IPB-Halle.Group-11.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-11.Subject-1.resin.Extract-1"	"UPLC mass spectrometry"	"umbelliferone"	"CHEBI"	"CHEBI:27510"	"8"	"microgram per milliliter"	"UO"	"274"	"lithium formiate"	""	""	"ACQUITY UPLC"	"MS"	"MS:1001761"	"Waters HSS T3 (100 x 1.0 mm)"	""	""	"solvent A=water/formic acid (99.9/0.1 v/v); solvent B= acetonitrile/formic acid (99.9/0.1 v/v)"	""	""	"95 % solvent A, 5% solvent B for 1 min,isocratic;ramping to 95% solvent B from 1 to 16 min;95% solvent B for 2 min, isocratic;5% solvent B for 2 min, isocratic"	""	""	"150 ul per minute"	""	""	"micrOTOF-Q"	"MS"	"MS:1000703"	"electrospray ionization"	"MS"	"1000073"	"6510 Quadrupole Time-of-Flight LC/MS"	"MS"	"MS:1000676"	"100-1000"	"m/z"	"MS"	"1000040"	"positive ion mode"	"MS"	"1000077"	"IPB-Halle.Group-11.Subject-1.resin.Extract-1.MSASSAY-1-positive"	"IPB-Halle.Group-11.Subject-1.resin.Extract-1.MSASSAY-1-positive.cdf"	"data transformation"	""	"UPLCMS-PCA"	""	""	"Muhlviertel Magnum"	""	""
"IPB-Halle.Group-12.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-12.Subject-1.resin.Extract-1"	"UPLC mass spectrometry"	"umbelliferone"	"CHEBI"	"CHEBI:27510"	"8"	"microgram per milliliter"	"UO"	"274"	"lithium formiate"	""	""	"ACQUITY UPLC"	"MS"	"MS:1001761"	"Waters HSS T3 (100 x 1.0 mm)"	""	""	"solvent A=water/formic acid (99.9/0.1 v/v); solvent B= acetonitrile/formic acid (99.9/0.1 v/v)"	""	""	"95 % solvent A, 5% solvent B for 1 min,isocratic;ramping to 95% solvent B from 1 to 16 min;95% solvent B for 2 min, isocratic;5% solvent B for 2 min, isocratic"	""	""	"150 ul per minute"	""	""	"micrOTOF-Q"	"MS"	"MS:1000703"	"electrospray ionization"	"MS"	"1000073"	"6510 Quadrupole Time-of-Flight LC/MS"	"MS"	"MS:1000676"	"100-1000"	"m/z"	"MS"	"1000040"	"positive ion mode"	"MS"	"1000077"	"IPB-Halle.Group-12.Subject-1.resin.Extract-1.MSASSAY-1-positive"	"IPB-Halle.Group-12.Subject-1.resin.Extract-1.MSASSAY-1-positive.cdf"	"data transformation"	""	"UPLCMS-PCA"	""	""	"Muhlviertel Perle"	""	""
"IPB-Halle.Group-13.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-13.Subject-1.resin.Extract-1"	"UPLC mass spectrometry"	"umbelliferone"	"CHEBI"	"CHEBI:27510"	"8"	"microgram per milliliter"	"UO"	"274"	"lithium formiate"	""	""	"ACQUITY UPLC"	"MS"	"MS:1001761"	"Waters HSS T3 (100 x 1.0 mm)"	""	""	"solvent A=water/formic acid (99.9/0.1 v/v); solvent B= acetonitrile/formic acid (99.9/0.1 v/v)"	""	""	"95 % solvent A, 5% solvent B for 1 min,isocratic;ramping to 95% solvent B from 1 to 16 min;95% solvent B for 2 min, isocratic;5% solvent B for 2 min, isocratic"	""	""	"150 ul per minute"	""	""	"micrOTOF-Q"	"MS"	"MS:1000703"	"electrospray ionization"	"MS"	"1000073"	"6510 Quadrupole Time-of-Flight LC/MS"	"MS"	"MS:1000676"	"100-1000"	"m/z"	"MS"	"1000040"	"positive ion mode"	"MS"	"1000077"	"IPB-Halle.Group-13.Subject-1.resin.Extract-1.MSASSAY-1-positive"	"IPB-Halle.Group-13.Subject-1.resin.Extract-1.MSASSAY-1-positive.cdf"	"data transformation"	""	"UPLCMS-PCA"	""	""	"Saaz Agnus"	""	""
"#"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"IPB-Halle.Group-01.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-01.Subject-1.resin.Extract-1"	"UPLC mass spectrometry"	"umbelliferone"	"CHEBI"	"CHEBI:27510"	"8"	"microgram per milliliter"	"UO"	"274"	"lithium formiate"	""	""	"ACQUITY UPLC"	"MS"	"MS:1001761"	"Waters HSS T3 (100 x 1.0 mm)"	""	""	"solvent A=water/formic acid (99.9/0.1 v/v); solvent B= acetonitrile/formic acid (99.9/0.1 v/v)"	""	""	"95 % solvent A, 5% solvent B for 1 min,isocratic;ramping to 95% solvent B from 1 to 16 min;95% solvent B for 2 min, isocratic;5% solvent B for 2 min, isocratic"	""	""	"150 ul per minute"	""	""	"micrOTOF-Q"	"MS"	"MS:1000703"	"electrospray ionization"	"MS"	"1000073"	"6510 Quadrupole Time-of-Flight LC/MS"	"MS"	"MS:1000676"	"100-1000"	"m/z"	"MS"	"1000040"	"positive ion mode"	"MS"	"1000077"	"IPB-Halle.Group-01.Subject-1.resin.Extract-1.MSASSAY-1-negative"	"IPB-Halle.Group-01.Subject-1.resin.Extract-1.MSASSAY-1-negative.cdf"	"data transformation"	""	"UPLCMS-PCA"	""	""	"Hallertau Perle"	""	""
"IPB-Halle.Group-02.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-02.Subject-1.resin.Extract-1"	"UPLC mass spectrometry"	"umbelliferone"	"CHEBI"	"CHEBI:27510"	"8"	"microgram per milliliter"	"UO"	"274"	"lithium formiate"	""	""	"ACQUITY UPLC"	"MS"	"MS:1001761"	"Waters HSS T3 (100 x 1.0 mm)"	""	""	"solvent A=water/formic acid (99.9/0.1 v/v); solvent B= acetonitrile/formic acid (99.9/0.1 v/v)"	""	""	"95 % solvent A, 5% solvent B for 1 min,isocratic;ramping to 95% solvent B from 1 to 16 min;95% solvent B for 2 min, isocratic;5% solvent B for 2 min, isocratic"	""	""	"150 ul per minute"	""	""	"micrOTOF-Q"	"MS"	"MS:1000703"	"electrospray ionization"	"MS"	"1000073"	"6510 Quadrupole Time-of-Flight LC/MS"	"MS"	"MS:1000676"	"100-1000"	"m/z"	"MS"	"1000040"	"positive ion mode"	"MS"	"1000077"	"IPB-Halle.Group-02.Subject-1.resin.Extract-1.MSASSAY-1-negative"	"IPB-Halle.Group-02.Subject-1.resin.Extract-1.MSASSAY-1-negative.cdf"	"data transformation"	""	"UPLCMS-PCA"	""	""	"Hallertau Hallertauer Tradition"	""	""
"IPB-Halle.Group-03.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-03.Subject-1.resin.Extract-1"	"UPLC mass spectrometry"	"umbelliferone"	"CHEBI"	"CHEBI:27510"	"8"	"microgram per milliliter"	"UO"	"274"	"lithium formiate"	""	""	"ACQUITY UPLC"	"MS"	"MS:1001761"	"Waters HSS T3 (100 x 1.0 mm)"	""	""	"solvent A=water/formic acid (99.9/0.1 v/v); solvent B= acetonitrile/formic acid (99.9/0.1 v/v)"	""	""	"95 % solvent A, 5% solvent B for 1 min,isocratic;ramping to 95% solvent B from 1 to 16 min;95% solvent B for 2 min, isocratic;5% solvent B for 2 min, isocratic"	""	""	"150 ul per minute"	""	""	"micrOTOF-Q"	"MS"	"MS:1000703"	"electrospray ionization"	"MS"	"1000073"	"6510 Quadrupole Time-of-Flight LC/MS"	"MS"	"MS:1000676"	"100-1000"	"m/z"	"MS"	"1000040"	"positive ion mode"	"MS"	"1000077"	"IPB-Halle.Group-03.Subject-1.resin.Extract-1.MSASSAY-1-negative"	"IPB-Halle.Group-03.Subject-1.resin.Extract-1.MSASSAY-1-negative.cdf"	"data transformation"	""	"UPLCMS-PCA"	""	""	"Hallertau Hersbruker"	""	""
"IPB-Halle.Group-04.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-04.Subject-1.resin.Extract-1"	"UPLC mass spectrometry"	"umbelliferone"	"CHEBI"	"CHEBI:27510"	"8"	"microgram per milliliter"	"UO"	"274"	"lithium formiate"	""	""	"ACQUITY UPLC"	"MS"	"MS:1001761"	"Waters HSS T3 (100 x 1.0 mm)"	""	""	"solvent A=water/formic acid (99.9/0.1 v/v); solvent B= acetonitrile/formic acid (99.9/0.1 v/v)"	""	""	"95 % solvent A, 5% solvent B for 1 min,isocratic;ramping to 95% solvent B from 1 to 16 min;95% solvent B for 2 min, isocratic;5% solvent B for 2 min, isocratic"	""	""	"150 ul per minute"	""	""	"micrOTOF-Q"	"MS"	"MS:1000703"	"electrospray ionization"	"MS"	"1000073"	"6510 Quadrupole Time-of-Flight LC/MS"	"MS"	"MS:1000676"	"100-1000"	"m/z"	"MS"	"1000040"	"positive ion mode"	"MS"	"1000077"	"IPB-Halle.Group-04.Subject-1.resin.Extract-1.MSASSAY-1-negative"	"IPB-Halle.Group-04.Subject-1.resin.Extract-1.MSASSAY-1-negative.cdf"	"data transformation"	""	"UPLCMS-PCA"	""	""	"Hallertau Hercules"	""	""
"IPB-Halle.Group-05.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-05.Subject-1.resin.Extract-1"	"UPLC mass spectrometry"	"umbelliferone"	"CHEBI"	"CHEBI:27510"	"8"	"microgram per milliliter"	"UO"	"274"	"lithium formiate"	""	""	"ACQUITY UPLC"	"MS"	"MS:1001761"	"Waters HSS T3 (100 x 1.0 mm)"	""	""	"solvent A=water/formic acid (99.9/0.1 v/v); solvent B= acetonitrile/formic acid (99.9/0.1 v/v)"	""	""	"95 % solvent A, 5% solvent B for 1 min,isocratic;ramping to 95% solvent B from 1 to 16 min;95% solvent B for 2 min, isocratic;5% solvent B for 2 min, isocratic"	""	""	"150 ul per minute"	""	""	"micrOTOF-Q"	"MS"	"MS:1000703"	"electrospray ionization"	"MS"	"1000073"	"6510 Quadrupole Time-of-Flight LC/MS"	"MS"	"MS:1000676"	"100-1000"	"m/z"	"MS"	"1000040"	"positive ion mode"	"MS"	"1000077"	"IPB-Halle.Group-05.Subject-1.resin.Extract-1.MSASSAY-1-negative"	"IPB-Halle.Group-05.Subject-1.resin.Extract-1.MSASSAY-1-negative.cdf"	"data transformation"	""	"UPLCMS-PCA"	""	""	"Hallertau Hallertauer Magnum"	""	""
"IPB-Halle.Group-06.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-06.Subject-1.resin.Extract-1"	"UPLC mass spectrometry"	"umbelliferone"	"CHEBI"	"CHEBI:27510"	"8"	"microgram per milliliter"	"UO"	"274"	"lithium formiate"	""	""	"ACQUITY UPLC"	"MS"	"MS:1001761"	"Waters HSS T3 (100 x 1.0 mm)"	""	""	"solvent A=water/formic acid (99.9/0.1 v/v); solvent B= acetonitrile/formic acid (99.9/0.1 v/v)"	""	""	"95 % solvent A, 5% solvent B for 1 min,isocratic;ramping to 95% solvent B from 1 to 16 min;95% solvent B for 2 min, isocratic;5% solvent B for 2 min, isocratic"	""	""	"150 ul per minute"	""	""	"micrOTOF-Q"	"MS"	"MS:1000703"	"electrospray ionization"	"MS"	"1000073"	"6510 Quadrupole Time-of-Flight LC/MS"	"MS"	"MS:1000676"	"100-1000"	"m/z"	"MS"	"1000040"	"positive ion mode"	"MS"	"1000077"	"IPB-Halle.Group-06.Subject-1.resin.Extract-1.MSASSAY-1-negative"	"IPB-Halle.Group-06.Subject-1.resin.Extract-1.MSASSAY-1-negative.cdf"	"data transformation"	""	"UPLCMS-PCA"	""	""	"Hallertau Spalter Select"	""	""
"IPB-Halle.Group-07.Subject-1.resin"	"MS extraction"	"IPB-Halle.Group-07.Subject-1.resin.Extract-1"	"UPLC mass spectrometry"	"umbelliferone"	"CHEBI"	"CHEBI:27510"	"8"	"microgram per milliliter"	"UO"	"274"	"lithium formiate"	""	""	"ACQUITY UPLC"	"MS"	"MS:1001761"	"Waters HSS T3 (100 x 1.0 mm)"	""	""	"solvent A=water/formic acid (99.9/0.1 v/v); solvent B= acetonitrile/formic acid (99.9/0.1 v/v)"	""	""	"95 % solvent A, 5% solvent B for 1 min,isocratic;ramping to 95% solvent B from 1 to 16 min;95% solvent B for 2 min, isocratic;5% solvent B for 2 min, isocratic"	""	""	"150 ul per minute"	""	""	"micrOTOF-Q"	"MS"	"MS:1000703"	"electrospray ionization"	"MS"	"1000073"	"6510 Quadrupole Time-of-Flight LC/MS"	"MS"	"MS:1000676"	"100-1000"	"m/z"	"MS"	"1000040"	"positive ion mode"	"MS"	"1000077"	"IPB-Halle.Group-07.Subject-1.resin.Extract-1.MSASSAY-1-negative"	"IPB-Halle.Group-07.Subject-1.resin.Extract-1.MSASSAY-1-negative.cdf"	"data transformation"	""	"UPLCMS-PCA"	""	""	"Hallertau Hallertauer Taurus"	""	""
